file,segment_index,segment_memsz,section_name,section_size,class,type
bash,2,130668,,0,,SHT_NULL
bash,2,130668,.interp,27,.interp,SHT_PROGBITS
bash,2,130668,.note.gnu.build-id,36,.note.gnu.build-id,SHT_NOTE
bash,2,130668,.note.ABI-tag,32,.note.ABI-tag,SHT_NOTE
bash,2,130668,.gnu.hash,64,.gnu.hash,SHT_GNU_HASH
bash,2,130668,.dynsym,3120,.dynsym,SHT_DYNSYM
bash,2,130668,.dynstr,1522,.dynstr,SHT_STRTAB
bash,2,130668,.gnu.version,260,.gnu.version,SHT_GNU_versym
bash,2,130668,.gnu.version_r,176,.gnu.version_r,SHT_GNU_verneed
bash,2,130668,.rela.dyn,5760,.rela.dyn,SHT_RELA
bash,2,130668,.rela.plt,2616,.rela.plt,SHT_RELA
bash,2,130668,.init,24,.init,SHT_PROGBITS
bash,2,130668,.plt,1776,.plt,SHT_PROGBITS
bash,2,130668,.text,82204,.text,SHT_PROGBITS
bash,2,130668,.fini,20,.fini,SHT_PROGBITS
bash,2,130668,.rodata,20252,.rodata,SHT_PROGBITS
bash,2,130668,.eh_frame_hdr,1516,.eh_frame_hdr,SHT_PROGBITS
bash,2,130668,.eh_frame,10676,.eh_frame,SHT_PROGBITS
bash,2,130668,.gnu_debugaltlink,74,.gnu_debugaltlink,SHT_PROGBITS
bash,2,130668,.gnu_debuglink,52,.gnu_debuglink,SHT_PROGBITS
bash,2,130668,.shstrtab,271,.shstrtab,SHT_STRTAB
bash,3,9784,.init_array,8,.init_array,SHT_INIT_ARRAY
bash,3,9784,.fini_array,8,.fini_array,SHT_FINI_ARRAY
bash,3,9784,.data.rel.ro,2728,.data.rel.ro,SHT_PROGBITS
bash,3,9784,.dynamic,528,.dynamic,SHT_DYNAMIC
bash,3,9784,.got,1032,.got,SHT_PROGBITS
bash,3,9784,.data,664,.data,SHT_PROGBITS
bash,3,9784,.bss,4808,.bss,SHT_NOBITS
bash,2,1454648,,0,,SHT_NULL
bash,2,1454648,.interp,27,.interp,SHT_PROGBITS
bash,2,1454648,.note.gnu.build-id,36,.note.gnu.build-id,SHT_NOTE
bash,2,1454648,.note.ABI-tag,32,.note.ABI-tag,SHT_NOTE
bash,2,1454648,.gnu.hash,19648,.gnu.hash,SHT_GNU_HASH
bash,2,1454648,.dynsym,62064,.dynsym,SHT_DYNSYM
bash,2,1454648,.dynstr,41422,.dynstr,SHT_STRTAB
bash,2,1454648,.gnu.version,5172,.gnu.version,SHT_GNU_versym
bash,2,1454648,.gnu.version_r,176,.gnu.version_r,SHT_GNU_verneed
bash,2,1454648,.rela.dyn,73032,.rela.dyn,SHT_RELA
bash,2,1454648,.rela.plt,5496,.rela.plt,SHT_RELA
bash,2,1454648,.init,24,.init,SHT_PROGBITS
bash,2,1454648,.plt,3696,.plt,SHT_PROGBITS
bash,2,1454648,.text,969760,.text,SHT_PROGBITS
bash,2,1454648,.fini,20,.fini,SHT_PROGBITS
bash,2,1454648,.rodata,106932,.rodata,SHT_PROGBITS
bash,2,1454648,.eh_frame_hdr,18380,.eh_frame_hdr,SHT_PROGBITS
bash,2,1454648,.eh_frame,148088,.eh_frame,SHT_PROGBITS
bash,2,1454648,.gnu_debuglink,52,.gnu_debuglink,SHT_PROGBITS
bash,2,1454648,.shstrtab,253,.shstrtab,SHT_STRTAB
bash,3,97488,.init_array,8,.init_array,SHT_INIT_ARRAY
bash,3,97488,.fini_array,8,.fini_array,SHT_FINI_ARRAY
bash,3,97488,.data.rel.ro,10824,.data.rel.ro,SHT_PROGBITS
bash,3,97488,.dynamic,528,.dynamic,SHT_DYNAMIC
bash,3,97488,.got,7408,.got,SHT_PROGBITS
bash,3,97488,.data,33680,.data,SHT_PROGBITS
bash,3,97488,.bss,45024,.bss,SHT_NOBITS
bash2,2,1454648,,0,,SHT_NULL
bash2,2,1454648,.interp,27,.interp,SHT_PROGBITS
bash2,2,1454648,.note.gnu.build-id,36,.note.gnu.build-id,SHT_NOTE
bash2,2,1454648,.note.ABI-tag,32,.note.ABI-tag,SHT_NOTE
bash2,2,1454648,.gnu.hash,19648,.gnu.hash,SHT_GNU_HASH
bash2,2,1454648,.dynsym,62064,.dynsym,SHT_DYNSYM
bash2,2,1454648,.dynstr,41422,.dynstr,SHT_STRTAB
bash2,2,1454648,.gnu.version,5172,.gnu.version,SHT_GNU_versym
bash2,2,1454648,.gnu.version_r,176,.gnu.version_r,SHT_GNU_verneed
bash2,2,1454648,.rela.dyn,73032,.rela.dyn,SHT_RELA
bash2,2,1454648,.rela.plt,5496,.rela.plt,SHT_RELA
bash2,2,1454648,.init,24,.init,SHT_PROGBITS
bash2,2,1454648,.plt,3696,.plt,SHT_PROGBITS
bash2,2,1454648,.text,969760,.text,SHT_PROGBITS
bash2,2,1454648,.fini,20,.fini,SHT_PROGBITS
bash2,2,1454648,.rodata,106932,.rodata,SHT_PROGBITS
